State,Population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Hawaii,1216500,4567,$90049,31%,39,$849745,1305,$652,39,65%,$1790,47%,270,3001,8%,4%,65%,62%,30%,34%,1%,22%,11%,16%,Hawaii Standard Time,85,78,7,46,N/A,6,71,9,21.149082249782257,-157.5092485694701,62%,66%,57%,57%,55%,N/A,N/A,N/A,72,64,8.41,14.26,48%,50%,44%,N/A,89
Idaho,1272236,2317,$57143,29%,35,$481441,1904,$255,33,68%,$920,46%,255,1568,13%,4%,64%,28%,58%,1%,0%,79%,13%,6%,Mountain Standard Time,90,36,54,15,34,7,55,4,44.12570800284471,-115.35205754681365,60%,78%,37%,44%,24%,16,32,42,58,22,2.0,4.82,26%,13%,36%,21,87
Illinois,16185776,8487,$72192,36%,37,$276275,1644,$166,51,67%,$1101,52%,593,2212,12%,6%,65%,55%,37%,5%,14%,58%,18%,14%,Central Standard Time,84,33,51,41,36,7,62,3,41.34205054671612,-88.38199695827811,52%,65%,41%,59%,56%,40,39,36,65,17,13.24,6.78,34%,34%,32%,22,87
Indiana,10554325,5043,$55998,28%,36,$216510,1697,$124,47,64%,$870,54%,440,3817,15%,5%,63%,39%,54%,2%,12%,72%,8%,6%,Eastern Standard Time,84,35,49,45,27,7,66,3,40.18402451053367,-86.25776668561646,53%,67%,42%,59%,56%,40,41,62,64,19,13.24,9.17,36%,34%,38%,18,88
Iowa,2556366,1509,$60706,30%,37,$218401,1478,$149,49,70%,$811,50%,374,2542,12%,4%,67%,43%,49%,3%,4%,82%,7%,6%,Central Standard Time,85,29,55,38,35,8,73,3,41.92484053328317,-93.03769758206529,56%,68%,48%,60%,57%,45,32,-858,64,12,14.53,4.31,30%,33%,25%,19,88
Kansas,3386990,2270,$61084,33%,35,$255754,1852,$133,46,65%,$880,49%,573,3258,12%,4%,66%,36%,55%,3%,6%,72%,14%,7%,Central Standard Time,90,42,48,36,14,7,62,4,38.45874894088837,-96.46847042380016,62%,71%,57%,56%,54%,52,42,63,68,20,13.31,3.68,24%,29%,16%,6,98
Kentucky,2635363,3604,$54208,29%,37,$245522,1678,$146,41,59%,$816,53%,163,2367,17%,5%,61%,38%,56%,2%,9%,80%,4%,5%,Eastern Standard Time,87,43,44,52,14,7,57,4,38.00564428956456,-85.38158678486663,55%,66%,45%,57%,56%,43,44,64,67,25,13.53,12.07,35%,34%,39%,10,93
Louisiana,3054005,2102,$49301,26%,36,$240235,1727,$139,44,61%,$889,57%,876,4813,21%,7%,59%,42%,53%,2%,39%,50%,5%,4%,Central Standard Time,92,61,30,62,0,7,49,5,30.610879568643607,-91.40126041721622,59%,67%,50%,60%,61%,67,57,71,74,41,18.96,15.31,30%,38%,32%,0,106
Maine,831455,756,$56109,35%,41,$397184,1675,$236,58,63%,$940,55%,151,1789,13%,4%,64%,48%,43%,1%,2%,89%,2%,5%,Eastern Standard Time,79,31,48,50,77,7,77,2,44.07729172472823,-69.91427370316973,55%,60%,54%,58%,59%,17,35,56,59,12,13.1,11.85,37%,38%,38%,27,81
Maryland,4987925,4210,$90219,41%,38,$408431,1857,$215,45,65%,$1514,52%,1688,4037,9%,5%,68%,64%,29%,6%,33%,44%,11%,16%,Eastern Standard Time,88,43,45,48,21,7,49,4,39.139859682646645,-76.81570022170979,54%,60%,51%,53%,53%,26,42,62,69,27,14.23,9.82,34%,35%,35%,7,92
Massachusetts,6468074,4831,$82209,43%,38,$597980,1682,$364,66,57%,$1430,55%,186,762,12%,5%,67%,60%,32%,7%,9%,63%,15%,20%,Eastern Standard Time,83,37,46,49,52,6,63,3,42.27727926149116,-71.34210511383434,57%,64%,54%,56%,56%,19,38,58,63,20,12.46,12.27,36%,36%,37%,18,86
Michigan,9691253,3678,$56909,28%,38,$221163,1443,$148,55,67%,$925,56%,590,2056,17%,7%,61%,47%,46%,3%,21%,65%,5%,8%,Eastern Standard Time,83,31,51,37,59,8,70,3,42.79217579131029,-84.21223467139093,50%,65%,37%,60%,55%,33,38,58,61,17,10.84,6.93,38%,33%,42%,41,84
Minnesota,4771454,2207,$75862,38%,37,$342669,1947,$173,44,72%,$1067,49%,176,2384,9%,3%,69%,45%,45%,4%,6%,78%,5%,8%,Central Standard Time,82,22,60,32,52,8,59,3,45.15121261850959,-93.53086605256928,51%,61%,46%,63%,59%,38,33,57,62,5,13.13,3.2,29%,33%,25%,29,85
Mississippi,1681240,1161,$45390,25%,36,$202740,1731,$114,39,59%,$824,57%,280,3607,22%,8%,58%,42%,55%,1%,46%,46%,3%,2%,Central Standard Time,91,56,35,59,1,6,53,5,32.57076363086282,-89.59212871745937,59%,66%,50%,56%,57%,63,53,69,72,35,15.23,16.45,30%,33%,33%,0,102
Missouri,4365155,2056,$59424,31%,37,$248975,1713,$141,44,63%,$889,53%,360,2787,14%,4%,64%,42%,51%,2%,14%,73%,5%,4%,Central Standard Time,89,41,47,44,16,7,54,4,38.55383679113685,-92.31037250797694,58%,68%,51%,58%,57%,50,43,64,69,22,13.46,6.7,29%,29%,24%,9,95
Montana,738089,1611,$54869,34%,38,N/A,N/A,N/A,44,65%,$852,51%,437,3658,14%,4%,65%,36%,53%,0%,0%,84%,4%,2%,N/A,86,32,53,16,54,6,80,3,46.72999904200513,-111.18887376304616,57%,72%,41%,48%,34%,25,29,44,53,15,4.62,2.77,29%,26%,30%,33,84
Nebraska,1595870,2455,$60066,31%,35,$261254,1831,$142,48,66%,$852,49%,76,422,11%,3%,69%,35%,57%,2%,5%,75%,12%,8%,Central Standard Time,88,34,53,31,27,8,71,3,41.15022967691557,-97.13416651750097,61%,72%,54%,57%,54%,46,38,60,66,14,12.29,3.16,26%,31%,19%,16,93
Nevada,2893344,3545,$62371,25%,38,$422150,1666,$251,25,56%,$1187,52%,259,1727,12%,6%,64%,49%,44%,8%,9%,46%,29%,20%,Pacific Standard Time,101,53,48,6,7,6,55,5,36.92632929374669,-116.11161563379835,83%,90%,74%,22%,15%,13,28,38,75,34,1.05,2.4,8%,5%,13%,3,98
New Hampshire,1108872,1146,$66901,35%,39,$406730,1712,$236,51,60%,$1149,54%,163,1292,10%,4%,67%,47%,46%,3%,2%,85%,5%,8%,Eastern Standard Time,82,33,49,47,68,6,72,3,43.131970517245,-71.45371251792274,55%,62%,52%,53%,51%,17,35,57,60,14,13.12,10.85,36%,38%,36%,25,84
New Jersey,9265137,7462,$84670,37%,39,$481299,1637,$296,57,58%,$1458,50%,185,1474,11%,6%,65%,56%,39%,9%,14%,49%,25%,25%,Eastern Standard Time,87,40,46,51,29,7,53,3,40.42795942993823,-74.4309138081494,54%,61%,49%,53%,52%,26,41,61,67,24,15.11,11.72,35%,36%,35%,10,90
New Mexico,1640178,1724,$52400,28%,38,$322514,1723,$184,40,67%,$868,56%,342,2500,18%,6%,59%,47%,41%,1%,2%,36%,49%,9%,Mountain Standard Time,92,49,43,11,11,7,67,6,34.83535646570539,-106.27896941488471,75%,78%,72%,30%,27%,38,31,47,57,20,4.59,1.77,15%,23%,13%,5,91
New York,28100349,21641,$87338,37%,40,$646705,1522,$480,59,70%,$1438,51%,338,1982,11%,5%,63%,67%,28%,5%,11%,66%,14%,14%,Eastern Standard Time,83,36,46,45,53,7,40,3,41.71285128344038,-74.8323306941838,52%,61%,46%,57%,55%,25,39,59,65,21,13.01,10.53,38%,37%,42%,25,85
North Carolina,6090372,1892,$61156,38%,37,$353082,1831,$190,33,59%,$1009,52%,466,3002,14%,5%,64%,50%,45%,4%,26%,55%,10%,10%,Eastern Standard Time,89,51,37,49,5,6,56,4,35.54795529634893,-79.67790584232085,61%,63%,56%,52%,55%,41,46,65,69,31,14.01,10.69,31%,34%,32%,1,97
North Dakota,562494,1410,$67972,27%,35,N/A,N/A,N/A,36,63%,$867,45%,314,2384,10%,2%,71%,27%,62%,1%,2%,81%,5%,2%,Central Standard Time,83,21,62,20,46,N/A,81,3,47.249081171818034,-99.39926267632018,57%,70%,49%,60%,52%,31,30,53,58,2,8.72,1.93,26%,31%,24%,34,85
Ohio,10845654,4917,$58050,30%,38,$229567,1634,$137,52,61%,$884,55%,482,2470,16%,5%,63%,43%,51%,2%,16%,72%,4%,5%,Eastern Standard Time,84,36,47,43,36,8,60,4,40.37478413094895,-82.79305271663101,48%,61%,35%,59%,55%,37,40,60,64,20,12.43,8.92,39%,36%,42%,26,87
Oklahoma,3067904,1226,$53006,26%,35,$231443,1713,$134,43,61%,$828,51%,503,3274,16%,5%,61%,31%,62%,2%,7%,65%,10%,5%,Central Standard Time,94,51,43,39,7,7,51,5,35.62426700387656,-96.93384440765011,63%,73%,57%,54%,53%,49,46,65,72,27,12.3,5.22,22%,23%,17%,2,104
Oregon,3323166,3739,$67712,35%,38,$500513,1726,$288,41,61%,$1195,51%,343,3348,13%,5%,64%,51%,37%,5%,2%,72%,14%,10%,Pacific Standard Time,83,45,37,39,12,6,44,3,44.842309530325764,-122.61374529783747,50%,67%,30%,57%,42%,6,43,50,55,34,2.33,16.05,41%,15%,57%,4,82
Pennsylvania,13665784,5045,$58448,30%,38,$256805,1620,$158,63,63%,$992,56%,N/A,N/A,15%,6%,63%,47%,48%,3%,16%,66%,10%,8%,Eastern Standard Time,85,38,47,48,36,7,58,3,40.428947672793335,-76.9488327868634,50%,59%,42%,55%,54%,30,40,60,65,22,14.62,10.35,38%,38%,40%,18,88
Rhode Island,999691,4253,$61137,30%,37,$433690,1809,$241,63,56%,$1044,57%,230,1570,14%,5%,64%,54%,38%,4%,9%,59%,23%,18%,Eastern Standard Time,83,38,45,50,39,7,68,3,41.75442789920789,-71.45540262484043,57%,61%,55%,55%,56%,19,39,59,65,21,11.66,13.12,35%,34%,37%,14,86
South Carolina,2403234,1458,$56019,32%,37,$327911,1783,$182,36,61%,$992,54%,624,4034,16%,5%,62%,41%,53%,1%,28%,59%,6%,6%,Eastern Standard Time,90,56,34,50,1,6,54,4,33.89861697246876,-80.93106329833336,61%,63%,56%,52%,54%,49,50,68,71,35,15.43,11.63,30%,36%,32%,0,99
South Dakota,735488,1341,$56000,24%,38,$312010,1763,$175,43,70%,$745,49%,432,2431,14%,4%,66%,33%,59%,0%,0%,80%,4%,2%,N/A,85,28,57,26,49,N/A,82,3,43.96844300925903,-98.6649606321331,59%,67%,56%,57%,52%,41,33,56,61,8,10.62,2.41,27%,32%,22%,25,87
Tennessee,4240441,1391,$55873,29%,37,$348829,1780,$189,39,60%,$951,52%,783,3592,17%,6%,61%,39%,55%,2%,22%,66%,6%,5%,Central Standard Time,89,48,41,55,4,6,54,4,35.78404568812036,-86.7514701138802,58%,65%,48%,56%,56%,52,48,66,68,28,13.25,14.94,34%,32%,38%,2,97
Texas,22314325,2573,$65270,31%,34,$352156,1896,$183,35,61%,$1106,50%,549,2893,15%,5%,65%,46%,48%,5%,12%,38%,41%,17%,Central Standard Time,96,61,35,38,1,7,57,5,31.002700874201658,-97.53024655363018,60%,70%,53%,54%,51%,45,53,67,75,38,9.98,7.12,22%,20%,23%,0,108
Utah,2981988,2739,$76895,34%,31,$519268,2198,$239,33,72%,$1172,42%,153,1410,9%,3%,69%,27%,44%,2%,1%,77%,14%,8%,Mountain Standard Time,92,38,54,18,64,8,74,4,40.3986657911687,-111.9648638981175,67%,83%,49%,41%,22%,37,32,43,65,21,2.56,5.46,24%,14%,31%,25,88
Vermont,401966,1381,$58392,42%,37,$356943,1701,$216,54,58%,$1093,59%,185,1837,14%,4%,64%,57%,29%,3%,2%,88%,2%,7%,N/A,81,29,52,42,81,7,80,3,44.192319785299965,-72.90825394567769,49%,60%,43%,57%,53%,22,35,57,59,11,13.21,8.16,42%,44%,45%,44,82
Virginia,5827712,3429,$87463,43%,36,$442115,1867,$233,41,62%,$1457,50%,328,2451,10%,4%,68%,55%,38%,8%,21%,55%,11%,15%,Eastern Standard Time,88,46,41,48,12,7,53,4,37.898138564443414,-77.48016553433833,58%,63%,54%,54%,55%,31,44,64,69,28,14.39,9.51,33%,34%,33%,4,93
Washington,6251200,3700,$82137,37%,37,$649858,1812,$357,39,62%,$1415,49%,362,3430,10%,4%,65%,53%,35%,10%,4%,65%,13%,15%,Pacific Standard Time,79,43,35,39,12,7,45,2,47.32509810733357,-121.69798731040252,46%,62%,27%,60%,45%,6,40,49,56,33,3.13,14.51,42%,19%,57%,5,79
West Virginia,782027,1647,$47113,25%,41,$240834,1796,$135,56,67%,$745,54%,328,2124,19%,7%,55%,27%,65%,1%,5%,88%,1%,2%,Eastern Standard Time,84,41,43,46,29,5,63,3,38.85166528174848,-80.89998254471136,47%,55%,37%,57%,57%,39,41,61,63,22,13.68,10.72,41%,40%,46%,16,88
Wisconsin,4958140,2200,$61782,30%,37,$272546,1683,$158,53,62%,$912,54%,374,1823,13%,4%,65%,47%,45%,3%,12%,70%,10%,6%,Central Standard Time,82,27,54,37,51,8,71,3,43.61198527123365,-88.89837474454652,52%,65%,45%,62%,59%,35,34,-172,61,11,13.14,5.23,33%,35%,31%,30,84
Wyoming,456397,1418,$65040,28%,36,N/A,N/A,N/A,42,70%,$860,47%,224,2040,11%,4%,66%,22%,67%,0%,1%,81%,11%,3%,N/A,85,34,51,14,62,7,83,4,42.578082613917104,-106.96475395543645,64%,71%,57%,45%,32%,35,28,45,54,12,3.92,2.13,25%,24%,23%,31,84
