City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Deerfield township (Lapeer Cnty),Michigan,5700,6000,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,$133000,1047,$127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,57.1,46,8.1,32.3,84,750,3.3,0.95,MI-21160,43.1917668,-83.2919704
Dryden,Michigan,1236,1124,Detroit-Warren-Dearborn,4382832,$66422,11.57%,37,N/A,N/A,N/A,27,79.02%,$1046,46.34%,42,528,5.04%,10.66%,52.21%,Lapeer County,28.20%,66.50%,0.32%,0.0%,96.93%,0.81%,1.78%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,83,750,3.3,1.1,MI-23140,42.9455811,-83.1239866
Dryden township,Michigan,1236,1124,Detroit-Warren-Dearborn,4382832,$66422,11.57%,37,N/A,N/A,N/A,27,79.02%,$1046,46.34%,42,528,5.04%,10.66%,52.21%,Lapeer County,28.20%,66.50%,0.32%,0.0%,96.93%,0.81%,1.78%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,83,750,3.3,1.1,MI-23140,42.9455811,-83.1239866
Elba township (Lapeer Cnty),Michigan,5236,165,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,32,50,61,17,61%,55%,38,58,83,52%,67%,39%,37.68,11.88,7.55,44.27%,38.24%,54.67%,57.1,46,8.1,32.3,80,765,3.3,31.73,MI-25160,43.0110592,-83.4015456
Goodland,Michigan,1748,49,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,30,52,57,13,61%,55%,38,58,83,52%,67%,39%,35.49,11.43,6.33,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,85,750,3.3,35.67,MI-32960,43.1097089,-83.0528245
Hadley,Michigan,4502,135,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,60,16,61%,55%,38,58,85,52%,67%,39%,33.68,10.93,5.5,37.75%,34.07%,40.44%,60.2,45,8.1,32.3,80,831,3.3,33.35,MI-35840,42.9255417,-83.3969753
Imlay,Michigan,3699,1510,Detroit-Warren-Dearborn,4382832,$39293,11.07%,36,$191000,1317,$145,46,58.31%,$736,56.52%,167,839,23.82%,8.07%,66.48%,Lapeer County,28.20%,66.50%,0.05%,0.19%,57.61%,39.82%,18.49%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,83,750,3.3,2.45,MI-40320,43.0170531,-83.0770985
Imlay City,Michigan,3699,1510,Detroit-Warren-Dearborn,4382832,$39293,11.07%,36,$191000,1317,$145,46,58.31%,$736,56.52%,167,839,23.82%,8.07%,66.48%,Lapeer County,28.20%,66.50%,0.05%,0.19%,57.61%,39.82%,18.49%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,73,750,3.3,2.45,MI-40320,43.0170531,-83.0770985
Lapeer,Michigan,8769,1195,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,$230000,1361,$169,N/A,N/A,N/A,N/A,19,119,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,60.2,45,8.1,32.3,71,750,3.3,7.34,MI-46060,43.0109744,-83.2764768
Lapeer township,Michigan,5052,688,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,$230000,1361,$169,N/A,N/A,N/A,N/A,19,119,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,60.2,45,8.1,32.3,80,750,3.3,7.34,MI-46060,43.0109744,-83.2764768
Marathon,Michigan,4532,138,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,32,50,61,17,61%,55%,38,58,83,52%,67%,39%,34.88,10.56,6.38,32.44%,27.8%,40.78%,57.1,46,8.1,32.3,83,750,3.3,32.84,MI-51420,43.1889932,-83.4050716
Mayfield township (Lapeer Cnty),Michigan,7934,239,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,57.1,46,8.1,32.3,81,750,3.3,33.2,MI-52500,43.1041494,-83.2867783
Metamora,Michigan,607,731,Detroit-Warren-Dearborn,4382832,$73393,25.94%,35,N/A,N/A,N/A,66,79.67%,$875,57.88%,93,326,6.67%,5.76%,73.83%,Lapeer County,28.20%,66.50%,0.0%,0.0%,88.63%,2.97%,0.49%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,60.2,45,8.1,32.3,83,750,3.3,0.83,MI-53340,42.9422154,-83.2896981
Metamora township,Michigan,607,731,Detroit-Warren-Dearborn,4382832,$73393,25.94%,35,N/A,N/A,N/A,66,79.67%,$875,57.88%,93,326,6.67%,5.76%,73.83%,Lapeer County,28.20%,66.50%,0.0%,0.0%,88.63%,2.97%,0.49%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,60.2,45,8.1,32.3,83,750,3.3,0.83,MI-53340,42.9422154,-83.2896981
North Branch,Michigan,1026,713,Detroit-Warren-Dearborn,4382832,$49722,11.0%,41,$4000,1333,$3,55,58.26%,$667,52.2%,N/A,N/A,19.55%,7.31%,55.23%,Lapeer County,28.20%,66.50%,0.0%,0.68%,89.67%,4.19%,0.88%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,85,750,3.3,1.44,MI-58080,43.2286366,-83.1919725
North Branch township,Michigan,1026,713,Detroit-Warren-Dearborn,4382832,$49722,11.0%,41,$4000,1333,$3,55,58.26%,$667,52.2%,N/A,N/A,19.55%,7.31%,55.23%,Lapeer County,28.20%,66.50%,0.0%,0.68%,89.67%,4.19%,0.88%,Eastern Standard Time,84,31,53,61,16,61%,55%,38,58,86,52%,67%,39%,35.31,10.6,6.32,44.27%,38.24%,54.67%,44.7,29,8.1,32.3,85,750,3.3,1.44,MI-58080,43.2286366,-83.1919725
Oregon,Michigan,5772,177,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,32,50,61,17,61%,55%,38,58,83,52%,67%,39%,37.68,11.88,7.55,44.27%,38.24%,54.67%,57.1,46,8.1,32.3,80,765,3.3,32.61,MI-61060,43.0996671,-83.4025561
Otter Lake,Michigan,388,511,Flint,406400,$42292,13.38%,49,N/A,N/A,N/A,N/A,83.84%,$1021,56.16%,N/A,N/A,13.66%,2.08%,56.47%,Lapeer County,28.20%,66.50%,0.0%,0.0%,96.91%,2.06%,0.77%,Eastern Standard Time,82,32,50,61,17,61%,55%,38,58,83,52%,67%,39%,34.88,10.56,6.38,32.44%,27.8%,40.78%,57.1,46,8.1,32.3,83,750,3.3,0.76,MI-61760,43.2138134,-83.4595949
Rich,Michigan,1578,45,Detroit-Warren-Dearborn,4382832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lapeer County,28.20%,66.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,30,53,60,15,61%,55%,38,58,85,52%,67%,39%,34.88,10.56,6.38,32.44%,27.8%,40.78%,57.1,46,8.1,32.3,86,750,3.3,35.07,MI-68160,43.2798556,-83.2948665
