City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Huber Ridge,Ohio,4213,4427,Columbus,2138946,85,36,49,40,136,175,22,60.8,42.8,N/A,9,30,31,35.51%,$71727,8.72%,$1190,1023,$168600,N/A,N/A,49,63.10%,6%,39%,32%,44,22 mins,3.90%,0.90%,3.70%,Franklin County,59.80%,33.90%,0.28%,16.02%,77.12%,2.33%,6.55%,Eastern Standard Time,833,5.6,52.30%,28,N/A,41,19.9%,0.00,8,2,0,N/A,N/A,OH-36624,1.05
Jackson township (Franklin Cnty),Ohio,44628,1257,Columbus,2138946,85,37,48,40,125,175,22,N/A,N/A,N/A,12,37,40,N/A,$65837,N/A,N/A,N/A,$179600,N/A,N/A,30,67.80%,6%,40%,33%,59,23 mins,3.90%,0.90%,14.60%,Franklin County,59.80%,33.90%,1.4%,4.9%,89.7%,1.5%,N/A,Eastern Standard Time,833,5.6,42.20%,0,N/A,39,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,9.05
Jefferson township (Franklin Cnty),Ohio,11189,755,Columbus,2138946,86,37,49,40,127,175,23,N/A,N/A,N/A,7,23,38,N/A,$127104,N/A,N/A,N/A,$286800,N/A,N/A,16,91.10%,6%,42%,34%,61,25 mins,3.90%,0.90%,13.20%,Franklin County,59.80%,33.90%,2.5%,15.9%,78.3%,2.0%,N/A,Eastern Standard Time,833,5.6,33.50%,1,N/A,19,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2.54
Lake Darby,Ohio,4133,1232,Columbus,2138946,85,37,48,39,117,174,22,60.8,42.8,N/A,7,23,35,30.43%,$74643,2.13%,$973,908,$176800,N/A,N/A,27,91.00%,7%,41%,33%,67,27 mins,3.90%,0.90%,-8.40%,Franklin County,59.80%,33.90%,1.6%,0.34%,94.97%,0.8%,2.23%,Eastern Standard Time,833,5.6,37.90%,8,N/A,N/A,19.7%,0.00,8,2,0,N/A,N/A,OH-41363,3.46
Lincoln Village,Ohio,9546,5424,Columbus,2138946,85,37,48,40,125,173,22,60.8,42.8,N/A,11,36,39,11.66%,$50050,11.17%,$975,911,$169900,1337,$127,57,57.30%,12%,57%,33%,40,23 mins,3.90%,0.90%,5.00%,Franklin County,59.80%,33.90%,2.98%,9.27%,70.14%,13.36%,7.67%,Eastern Standard Time,833,5.6,55.90%,56,37,N/A,20.4%,0.00,8,1,0,N/A,N/A,OH-43792,1.83
Lockbourne,Ohio,160,185,Columbus,2138946,85,37,48,40,121,174,21,60.8,42.8,7,12,42,46,11.61%,$52083,23.13%,N/A,N/A,$119900,N/A,N/A,78,55.30%,6%,40%,35%,64,19 mins,3.90%,0.90%,-62.80%,Franklin County,59.80%,33.90%,0.0%,0.0%,98.75%,1.25%,0.0%,Eastern Standard Time,833,5.6,54.10%,10,N/A,24,22.8%,113.31,10,2,0,N/A,N/A,OH-44310,0.79
Madison township (Franklin Cnty),Ohio,25086,631,Columbus,2138946,86,37,49,40,125,175,22,N/A,N/A,N/A,9,19,40,N/A,$59328,N/A,N/A,N/A,$159800,N/A,N/A,40,73.40%,6%,40%,35%,60,23 mins,3.90%,0.90%,9.40%,Franklin County,59.80%,33.90%,1.7%,16.7%,77.1%,1.8%,N/A,Eastern Standard Time,833,5.6,47.70%,0,N/A,22,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,5.09
Marble Cliff,Ohio,689,2279,Columbus,2138946,85,37,48,40,125,173,22,60.8,42.8,7,8,29,55,73.53%,$108125,4.37%,$1369,823,$708100,N/A,N/A,55,61.40%,6%,43%,34%,44,21 mins,3.90%,0.90%,6.00%,Franklin County,59.80%,33.90%,5.95%,0.15%,86.94%,3.63%,5.52%,Eastern Standard Time,833,5.6,46.70%,48,N/A,N/A,15.2%,0.00,9,2,0,N/A,N/A,OH-47474,0.27
Mifflin township (Franklin Cnty),Ohio,37278,2580,Columbus,2138946,85,37,48,40,136,175,23,N/A,N/A,N/A,11,37,39,N/A,$69838,N/A,N/A,N/A,$238000,N/A,N/A,35,69.50%,6%,42%,35%,49,21 mins,3.90%,0.90%,5.00%,Franklin County,59.80%,33.90%,3.2%,13.9%,76.4%,2.7%,N/A,Eastern Standard Time,833,5.6,45.20%,51,N/A,43,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,0.18
Minerva Park,Ohio,1372,2065,Columbus,2138946,85,36,49,40,136,178,22,60.8,42.8,N/A,10,33,42,52.54%,$105272,7.16%,$879,924,$200100,N/A,N/A,59,86.00%,6%,42%,35%,47,21 mins,3.90%,0.90%,8.50%,Franklin County,59.80%,33.90%,5.17%,12.39%,69.31%,8.45%,11.59%,Eastern Standard Time,833,5.6,39.70%,26,24,34,18.5%,0.00,8,2,0,N/A,N/A,OH-50862,0.65
New Albany,Ohio,11085,714,Columbus,2138946,85,36,49,40,136,176,22,60.8,42.8,7,8,21,39,75.52%,$200580,1.41%,$1362,1036,$499500,3009,$166,13,88.30%,0%,27%,24%,66,20 mins,3.90%,0.90%,44.40%,Franklin County,59.80%,33.90%,7.51%,7.54%,73.52%,6.22%,10.04%,Eastern Standard Time,833,5.6,29.00%,31,N/A,60,18.6%,6.25,9,2,0,N/A,N/A,OH-53970,16.56
Norwich township (Franklin Cnty),Ohio,37005,2612,Columbus,2138946,85,36,49,39,136,175,22,N/A,N/A,N/A,10,32,36,N/A,$86921,N/A,N/A,N/A,$238100,N/A,N/A,26,72.40%,6%,41%,34%,58,22 mins,3.90%,0.90%,19.50%,Franklin County,59.80%,33.90%,5.1%,3.5%,86.4%,3.3%,N/A,Eastern Standard Time,833,5.6,37.70%,46,N/A,41,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,0.08
Obetz,Ohio,5205,778,Columbus,2138946,86,37,49,40,125,177,22,60.8,42.8,7,10,47,39,14.35%,$68762,9.3%,$772,776,$143500,N/A,N/A,39,69.20%,10%,55%,36%,59,18 mins,3.90%,0.90%,6.60%,Franklin County,59.80%,33.90%,1.13%,10.22%,81.56%,2.67%,2.32%,Eastern Standard Time,833,5.6,41.90%,28,N/A,36,20.6%,8.80,9,2,0,N/A,N/A,OH-57862,5.83
Perry township (Franklin Cnty),Ohio,3716,1732,Columbus,2138946,85,36,49,39,136,175,22,N/A,N/A,N/A,6,21,43,N/A,$103478,N/A,N/A,N/A,$334000,N/A,N/A,50,97.70%,6%,41%,34%,51,22 mins,3.90%,0.90%,1.90%,Franklin County,59.80%,33.90%,1.7%,0.0%,94.4%,2.3%,N/A,Eastern Standard Time,833,5.6,25.60%,6,8,28,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2.27
Plain township (Franklin Cnty),Ohio,11627,580,Columbus,2138946,85,36,49,40,136,175,22,N/A,N/A,N/A,7,23,38,N/A,$152419,N/A,N/A,N/A,$560800,N/A,N/A,15,87.60%,6%,40%,34%,66,21 mins,3.90%,0.90%,28.00%,Franklin County,59.80%,33.90%,7.4%,9.7%,79.6%,1.4%,N/A,Eastern Standard Time,833,5.6,30.10%,48,N/A,47,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,20.05
Pleasant township (Franklin Cnty),Ohio,6903,160,Columbus,2138946,85,37,48,40,123,175,22,N/A,N/A,N/A,7,24,49,N/A,$63247,N/A,N/A,N/A,$233100,N/A,N/A,42,84.90%,6%,41%,33%,72,27 mins,3.90%,0.90%,2.90%,Franklin County,59.80%,33.90%,0.2%,1.1%,97.1%,0.4%,N/A,Eastern Standard Time,833,5.6,33.00%,1,N/A,19,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,43.14
Prairie township (Franklin Cnty),Ohio,17167,909,Columbus,2138946,85,37,48,40,122,175,22,N/A,N/A,N/A,11,36,37,N/A,$53610,N/A,N/A,N/A,$136800,N/A,N/A,49,67.10%,6%,40%,34%,51,24 mins,3.90%,0.90%,3.90%,Franklin County,59.80%,33.90%,1.1%,5.3%,81.7%,9.2%,N/A,Eastern Standard Time,833,5.6,49.00%,1,N/A,25,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,18.89
Reynoldsburg,Ohio,38016,3348,Columbus,2138946,86,37,49,40,126,175,23,60.8,42.7,7,15,46,36,32.22%,$65623,7.63%,$1022,958,$219900,1665,$132,34,58.80%,5%,36%,28%,52,24 mins,4.00%,0.80%,6.30%,Franklin County,59.80%,33.90%,3.92%,28.77%,57.37%,6.79%,10.03%,Eastern Standard Time,833,5.6,51.20%,29,22,40,18.5%,17.98,9,2,0,N/A,N/A,OH-66390,11.12
Riverlea,Ohio,574,3775,Columbus,2138946,85,36,49,39,136,174,22,60.8,42.8,7,7,25,47,79.75%,$131250,0.35%,$1201,982,$447400,N/A,N/A,63,82.50%,6%,40%,36%,43,21 mins,3.90%,0.90%,18.30%,Franklin County,59.80%,33.90%,1.74%,1.74%,92.33%,2.09%,4.01%,Eastern Standard Time,833,5.6,38.00%,33,N/A,N/A,18.2%,0.00,8,1,0,N/A,N/A,OH-67440,0.15
Westerville,Ohio,40443,3063,Columbus,2138946,85,36,49,40,136,178,22,60.6,42.5,7,10,33,41,55.52%,$92287,5.33%,$1207,1028,$334900,2247,$149,37,74.10%,3%,35%,34%,53,21 mins,3.70%,0.90%,7.30%,Franklin County,59.80%,33.90%,2.36%,6.26%,84.57%,2.01%,5.83%,Eastern Standard Time,833,5.6,43.20%,28,N/A,52,17.7%,10.78,8,2,0,N/A,N/A,OH-83342,12.6
Whitehall,Ohio,18944,3551,Columbus,2138946,86,37,49,40,126,178,23,60.7,42.7,7,38,90,34,15.03%,$42951,21.55%,$953,912,$145900,1236,$118,57,31.30%,7%,49%,28%,42,21 mins,3.90%,0.90%,3.20%,Franklin County,59.80%,33.90%,1.07%,37.89%,42.12%,12.97%,13.13%,Eastern Standard Time,833,5.6,61.20%,50,36,46,16.4%,5.49,9,2,0,N/A,N/A,OH-84742,5.28
Worthington,Ohio,14961,2640,Columbus,2138946,85,36,49,39,136,176,22,60.8,42.8,7,9,30,41,66.33%,$105373,3.33%,$1201,982,$365000,1994,$183,52,76.60%,4%,37%,38%,40,22 mins,3.90%,0.90%,4.80%,Franklin County,59.80%,33.90%,2.56%,2.57%,90.96%,1.6%,4.81%,Eastern Standard Time,833,5.6,38.00%,71,27,69,16.8%,1.48,8,2,0,N/A,N/A,OH-86604,5.47
